tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
comercio,fabrica de,prado,3,10.0,2018-07-13,5000000.0,microempresarial
servicio,recreativo educativo,barrio caicedo,1,9.0,2017-10-30,6000000.0,microempresarial
comercio,tienda,aranjuez,2,4.0,2017-08-03,7300000.0,microempresarial
comercio,variedades,cabecera san cristobal,3,60.0,2017-11-20,7000000.0,microempresarial
comercio,fabrica de,robledo,2,7.0,2017-02-23,5000000.0,microempresarial
comercio,variedades,picachito,1,6.0,2017-05-31,7000000.0,microempresarial
industria,fabrica de,guayabal,3,15.0,2016-02-20,200000000.0,microempresarial
comercio,tienda,carpinelo,1,1.0,2017-02-14,3300000.0,microempresarial
comercio,variedades,belalcazar,2,5.0,2018-05-07,7800000.0,microempresarial
comercio,variedades,manrique central no. 1,1,4.0,2018-05-03,7800000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2017-02-28,4500000.0,microempresarial
agropecuaria,sembrados,santa elena central,2,90.0,2016-12-23,13000000.0,agropecuaria
comercio,comidas rapidas,andalucia,2,2.0,2018-04-12,7800000.0,microempresarial
industria,fabrica de,san javier no.1,1,13.0,2018-08-23,4000000.0,microempresarial
servicio,variedades,belencito,2,13.0,2018-07-30,7800000.0,microempresarial
comercio,miscelanea,centro admtivo,3,10.0,2018-02-14,1000000.0,microempresarial
comercio,variedades,cabecera san antonio,2,80.0,2017-11-16,7000000.0,microempresarial
servicio,cafe e internet,manrique central no. 1,3,4.0,2019-04-29,8000000.0,microempresarial
comercio,tienda,villa hermosa,3,8.0,2018-06-27,5000000.0,microempresarial
comercio,venta de calzado,playon de los,2,2.0,2017-02-27,7000000.0,microempresarial
comercio,productos de belleza,buenos aires,3,9.0,2017-07-24,7300000.0,microempresarial
comercio,tienda,manrique central no. 1,2,4.0,2018-09-14,6000000.0,microempresarial
comercio,tienda,popular,2,1.0,2018-10-11,6000000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2018-02-15,6000000.0,microempresarial
comercio,variedades,tricentenario,3,5.0,2017-11-20,4000000.0,microempresarial
servicio,barberia,calasanz,2,12.0,2017-09-26,7377000.0,microempresarial
industria,fabrica de,aranjuez,3,4.0,2016-10-24,650000000.0,microempresarial
comercio,comidas rapidas,buenos aires,2,9.0,2019-06-28,1500000.0,microempresarial
comercio,variedades,andalucia,2,2.0,2018-08-17,7800000.0,microempresarial
servicio,peluqueria,pedregal,3,6.0,2017-10-27,7300000.0,microempresarial
servicio,jardineria,la francia,2,2.0,2017-06-12,7377000.0,microempresarial
comercio,variedades,santa cruz,2,2.0,2017-06-14,4000000.0,microempresarial
comercio,tienda,san javier no.1,2,13.0,2018-02-06,7800000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2017-09-05,7300000.0,microempresarial
comercio,variedades,belen,3,16.0,2016-09-16,6890000.0,microempresarial
comercio,tienda,las brisas,3,5.0,2018-01-15,6000000.0,microempresarial
comercio,peluqueria,castilla,3,5.0,2017-08-11,2500000.0,microempresarial
industria,fabrica de alimentos,san javier no.1,2,13.0,2016-10-27,680000000.0,microempresarial
comercio,almacen de ropa en,cabecera san antonio,2,80.0,2016-09-22,4000000.0,microempresarial
industria,variedades,cabecera san antonio,2,80.0,2017-07-24,5000000.0,credioportuno
industria,fabrica de,guayabal,2,15.0,2016-03-02,4000000.0,microempresarial
industria,fabrica de,belen,2,16.0,2016-05-24,6500000.0,microempresarial
comercio,comidas rapidas,santander,2,6.0,2018-07-27,1200000.0,microempresarial
comercio,almacen de ropa en,prado,3,10.0,2017-11-20,7000000.0,microempresarial
comercio,comidas rapidas,santa cruz,2,2.0,2018-03-22,1500000.0,microempresarial
industria,fabrica de traperos,aranjuez,3,4.0,2016-02-24,200000000.0,microempresarial
comercio,variedades,castilla,3,5.0,2017-02-15,4000000.0,microempresarial
industria,fabrica de alimentos,san javier no.2,3,13.0,2016-02-29,689000000.0,microempresarial
industria,fabrica de,san javier no.1,1,13.0,2017-08-15,6000000.0,microempresarial
servicio,variedades,pedregal,3,6.0,2017-04-24,7000000.0,microempresarial
comercio,panaderia,cabecera san antonio,2,80.0,2017-04-27,3000000.0,microempresarial
servicio,mantenimiento en,la milagrosa,2,9.0,2018-05-16,7000000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2016-08-16,6000000.0,microempresarial
comercio,fabrica de,san javier no.1,1,13.0,2017-10-05,7300000.0,microempresarial
comercio,tienda,cabecera san antonio,3,80.0,2018-05-21,5500000.0,microempresarial
comercio,tienda de helados,robledo,3,7.0,2018-05-23,7800000.0,microempresarial
comercio,variedades,tricentenario,3,5.0,2017-04-27,7000000.0,microempresarial
comercio,miscelanea,villa hermosa,3,8.0,2016-12-19,6890000.0,microempresarial
servicio,mantenimiento en,andalucia,1,2.0,2016-01-22,6890000.0,microempresarial
comercio,tienda,bombona no. 1,3,10.0,2016-10-05,4000000.0,microempresarial
industria,fabrica de,santa cruz,2,2.0,2016-09-30,6890000.0,microempresarial
comercio,almacen de ropa en,manrique oriental,2,3.0,2017-02-08,1200000.0,microempresarial
comercio,fabrica de,villa liliam,1,13.0,2019-02-06,7800000.0,microempresarial
comercio,tienda,kennedy,2,6.0,2018-09-27,5000000.0,microempresarial
comercio,variedades,robledo,2,7.0,2016-10-28,600000000.0,microempresarial
comercio,tienda,santa cruz,2,2.0,2016-04-04,4000000.0,microempresarial
comercio,variedades,popular,2,1.0,2016-02-29,6500000.0,microempresarial
comercio,comidas rapidas,doce de octubre no.1,2,6.0,2018-05-21,5000000.0,microempresarial
servicio,bares,san javier no.1,2,13.0,2018-07-16,5000000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2018-03-06,7800000.0,microempresarial
comercio,peluqueria,pedregal,3,6.0,2017-04-18,7000000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2018-07-03,4000000.0,microempresarial
comercio,tienda,robledo,2,7.0,2018-09-05,5000000.0,microempresarial
comercio,peluqueria,robledo,2,7.0,2018-05-03,6000000.0,microempresarial
agropecuaria,criadero de animales,la floresta,2,12.0,2016-06-14,6890000.0,microempresarial
comercio,almacen de ropa en,popular,1,1.0,2018-10-18,7800000.0,microempresarial
comercio,tienda,la milagrosa,3,9.0,2018-02-20,5000000.0,microempresarial
comercio,restaurante,enciso,3,8.0,2017-03-09,7000000.0,microempresarial
servicio,organizacion y,pedregal,3,6.0,2017-10-12,737700000.0,microempresarial
industria,fabrica de,el salvador,2,9.0,2017-06-06,7377000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2018-04-27,3000000.0,microempresarial
servicio,restaurante,belen,3,16.0,2017-04-03,7350000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2017-06-20,1000000.0,microempresarial
comercio,tienda,aranjuez,1,4.0,2017-09-04,3000000.0,microempresarial
servicio,peluqueria,el salvador,2,60.0,2017-09-19,3000000.0,microempresarial
industria,fabrica de,la esperanza,1,6.0,2018-04-12,3000000.0,microempresarial
comercio,panaderia,playon de los,2,2.0,2016-11-22,6000000.0,microempresarial
comercio,almacen de ropa en,santa cruz,2,2.0,2017-02-21,6000000.0,microempresarial
comercio,tienda,robledo,1,7.0,2017-12-18,5000000.0,microempresarial
comercio,comidas rapidas,robledo,3,7.0,2018-01-29,7800000.0,microempresarial
industria,fabrica de,barrio caicedo,2,9.0,2017-03-16,5000000.0,microempresarial
servicio,variedades,santo domingo savio,1,1.0,2018-02-28,7000000.0,microempresarial
comercio,variedades,aranjuez,2,4.0,2016-08-25,3000000.0,microempresarial
servicio,comidas rapidas,robledo,2,7.0,2017-03-29,7377000.0,microempresarial
comercio,tienda,popular,2,1.0,2017-06-29,7300000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2017-03-09,600000000.0,microempresarial
comercio,tienda,el salvador,3,9.0,2016-04-12,1000000.0,microempresarial
comercio,miscelanea,centro admtivo,1,10.0,2018-02-15,5000000.0,microempresarial
comercio,variedades,doce de octubre no.1,2,6.0,2017-03-02,3000000.0,microempresarial
comercio,fabrica de,centro admtivo,2,10.0,2018-01-24,450000000.0,microempresarial
comercio,fabrica de alimentos,campo valdes no. 2,1,3.0,2017-11-24,3000000.0,microempresarial
comercio,variedades,campo valdes no. 1,3,4.0,2018-06-06,4000000.0,microempresarial
servicio,fabrica de arepas,villa hermosa,3,8.0,2016-08-24,1050000.0,microempresarial
industria,carpinteria,belen,3,16.0,2018-01-30,7800000.0,microempresarial
comercio,variedades,calasanz,3,12.0,2018-05-16,3000000.0,microempresarial
servicio,variedades,las palmas,2,10.0,2017-12-22,440000000.0,microempresarial
comercio,tienda,girardot,3,5.0,2019-05-16,8200000.0,microempresarial
servicio,drogueria,cabecera san cristobal,2,60.0,2018-07-12,7800000.0,microempresarial
industria,fabrica de,moravia,2,4.0,2018-06-01,7800000.0,microempresarial
comercio,tienda,enciso,2,8.0,2017-04-18,700000000.0,microempresarial
comercio,almacen de ropa en,cabecera san antonio,2,80.0,2017-02-09,7377000.0,microempresarial
comercio,tienda de helados,san javier no.1,2,13.0,2017-09-27,30000000.0,empresarial ed.
comercio,almacen de ropa en,antonio nariño,2,13.0,2016-08-16,6890000.0,microempresarial
comercio,productos de mar,santa cruz,2,2.0,2018-06-07,2500000.0,microempresarial
agropecuaria,criadero de animales,cabecera san antonio,2,80.0,2017-12-05,7300000.0,microempresarial
servicio,cafe e internet,moravia,3,4.0,2018-02-13,3000000.0,microempresarial
industria,fabrica de,popular,2,1.0,2018-08-24,7800000.0,microempresarial
industria,ebanistaria,manrique oriental,2,3.0,2016-12-06,6500000.0,microempresarial
comercio,variedades,las palmas,2,8.0,2018-05-22,440000000.0,microempresarial
agropecuaria,sembrados,santa elena central,2,90.0,2017-07-26,10000000.0,agropecuaria
comercio,variedades,aranjuez,3,4.0,2018-02-02,36.0,microempresarial
industria,fabrica de calzado,el socorro,2,13.0,2017-12-12,7370000.0,microempresarial
industria,fabrica de,doce de octubre no.1,1,6.0,2016-07-27,6800000.0,microempresarial
comercio,fabrica de helados,manrique central no. 1,2,4.0,2016-10-04,6000000.0,microempresarial
comercio,miscelanea,lopez de mesa,3,7.0,2017-10-18,2000000.0,microempresarial
comercio,bares,aures no. 2,2,7.0,2019-03-01,2500000.0,microempresarial
servicio,variedades,popular,2,1.0,2017-08-31,5000000.0,microempresarial
comercio,miscelanea,buenos aires,2,9.0,2017-01-24,7370000.0,microempresarial
comercio,papeleria,cabecera san antonio,2,80.0,2018-12-11,2000000.0,microempresarial
servicio,restaurante,centro admtivo,3,10.0,2017-11-08,4000000.0,microempresarial
comercio,carniceria,robledo,3,7.0,2017-10-13,4000000.0,microempresarial
industria,fabrica de,castilla,2,5.0,2019-01-18,8200000.0,microempresarial
comercio,comidas rapidas,san jose de la cima no.,1,3.0,2018-02-16,2000000.0,microempresarial
servicio,comidas rapidas,palermo,1,4.0,2016-08-18,3500000.0,microempresarial
servicio,tienda,13 de noviembre,1,8.0,2017-08-15,7200000.0,microempresarial
servicio,mantenimiento en,tejelo,3,5.0,2017-04-03,7377000.0,microempresarial
industria,fabrica de,doce de octubre no.1,1,6.0,2016-04-15,2000000.0,microempresarial
comercio,variedades,francisco antonio zea,2,5.0,2018-02-09,781000.0,microempresarial
comercio,tienda,picacho,1,6.0,2019-05-29,8200000.0,microempresarial
comercio,almacen de ropa en,girardot,3,5.0,2017-02-23,3000000.0,microempresarial
industria,carpinteria,manrique oriental,1,3.0,2016-12-16,6900000.0,microempresarial
servicio,peluqueria,buenos aires,3,9.0,2017-06-13,7377000.0,microempresarial
comercio,variedades,el salvador,2,9.0,2017-10-27,6500000.0,microempresarial
servicio,cafeteria,santa elena central,2,90.0,2016-05-16,6000000.0,microempresarial
servicio,barberia,robledo,2,7.0,2018-05-08,6000000.0,microempresarial
comercio,peluqueria,belen,3,16.0,2018-06-08,7800000.0,microempresarial
industria,fabrica de,la loma oriental,2,60.0,2016-12-16,6890000.0,microempresarial
servicio,barberia,la loma,1,60.0,2018-08-24,780000000.0,microempresarial
servicio,cafe e internet,buenos aires,3,9.0,2016-12-05,6890000.0,microempresarial
servicio,fabrica de,castilla,3,5.0,2017-02-09,7377000.0,microempresarial
comercio,variedades,barrio caicedo,2,9.0,2017-10-24,7300000.0,microempresarial
industria,fabrica de,manrique oriental,2,3.0,2018-06-18,400000000.0,microempresarial
servicio,peluqueria,robledo,2,7.0,2018-02-21,7000000.0,microempresarial
servicio,comidas rapidas,florencia,3,5.0,2018-10-18,1500000.0,microempresarial
comercio,comidas rapidas,andalucia,2,2.0,2018-06-21,5000000.0,microempresarial
servicio,mantenimiento en,enciso,3,8.0,2018-09-27,7800000.0,microempresarial
comercio,comidas rapidas,doce de octubre no.1,2,6.0,2018-10-24,4000000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2019-06-12,450000000.0,microempresarial
industria,fabrica de muebles,cabecera san cristobal,3,60.0,2018-10-26,7800000.0,microempresarial
comercio,comidas rapidas,aranjuez,3,4.0,2017-06-13,4000000.0,microempresarial
industria,fabrica de alimentos,robledo,3,7.0,2018-11-01,7800000.0,microempresarial
comercio,tienda,robledo,2,7.0,2017-02-13,5000000.0,microempresarial
comercio,comidas rapidas,san javier no.1,1,13.0,2018-03-14,7800000.0,microempresarial
servicio,cafe e internet,robledo,1,7.0,2016-06-24,6000000.0,microempresarial
industria,fabrica de,manrique central no. 1,1,4.0,2018-11-13,250000000.0,microempresarial
comercio,legumbreria,manrique central no. 2,2,3.0,2016-04-14,6000000.0,microempresarial
servicio,cafe e internet,buenos aires,3,9.0,2018-02-06,4000000.0,microempresarial
comercio,variedades,robledo,1,7.0,2018-08-24,7800000.0,microempresarial
industria,fabrica de,la floresta,2,13.0,2018-12-21,5000000.0,microempresarial
comercio,variedades,cabecera san antonio,2,80.0,2016-06-17,6800000.0,microempresarial
comercio,panaderia,pedregal alto,3,60.0,2017-12-04,7000000.0,microempresarial
comercio,ferreteria,villa del socorro,1,2.0,2018-02-15,7800000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2018-08-01,1000000.0,microempresarial
industria,fabrica de,la libertad,2,8.0,2018-05-31,7800000.0,microempresarial
comercio,variedades,el chagualo,3,10.0,2018-05-25,7800000.0,microempresarial
comercio,miscelanea,popular,1,1.0,2016-10-26,4000000.0,microempresarial
industria,fabrica de arepas,san javier no.1,3,13.0,2016-06-15,6500000.0,microempresarial
industria,fabrica de,aranjuez,2,4.0,2018-03-22,3400000.0,microempresarial
comercio,comidas rapidas,popular,2,1.0,2017-11-22,4000000.0,microempresarial
comercio,tienda,picacho,1,6.0,2018-05-04,7000000.0,microempresarial
industria,fabrica de,campo valdes no. 1,3,4.0,2019-01-25,5000000.0,microempresarial
servicio,tienda,enciso,2,8.0,2017-04-25,5000000.0,microempresarial
industria,fabrica de,santa cruz,2,2.0,2018-07-17,7800000.0,microempresarial
industria,fabrica de,trinidad,3,15.0,2016-05-19,3000000.0,microempresarial
comercio,fabrica de arepas,barrio caicedo,2,9.0,2019-03-20,4000000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2018-08-17,5000000.0,microempresarial
comercio,variedades,el poblado,3,14.0,2017-06-16,7000000.0,microempresarial
comercio,comidas rapidas,santa cruz,2,2.0,2018-12-03,6000000.0,microempresarial
comercio,almacen de ropa en,santa cruz,2,2.0,2019-02-05,8000000.0,microempresarial
industria,carpinteria,cabecera san antonio,2,80.0,2016-09-15,6500000.0,microempresarial
servicio,recreativo educativo,cabecera san cristobal,3,60.0,2019-02-06,7800000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2019-06-27,8281000.0,microempresarial
industria,fabrica de repuestos,la floresta,2,12.0,2018-07-09,7800000.0,microempresarial
comercio,tienda,la francia,2,2.0,2019-04-08,6000000.0,microempresarial
servicio,comidas rapidas,castilla,2,5.0,2016-04-26,6890000.0,microempresarial
servicio,distribuidora de,san javier no.1,2,13.0,2017-04-03,7000000.0,microempresarial
industria,fabrica de repuestos,guayabal,3,15.0,2017-12-29,7300000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2018-08-21,3000000.0,microempresarial
comercio,almacen de ropa en,20 de julio,1,13.0,2018-06-08,2000000.0,microempresarial
comercio,variedades,la milagrosa,3,9.0,2018-03-09,5000000.0,microempresarial
servicio,peluqueria,aranjuez,2,4.0,2018-09-24,7800000.0,microempresarial
servicio,recreativo educativo,castilla,3,5.0,2018-12-17,7500000.0,microempresarial
comercio,distribuidora de,villa hermosa,3,8.0,2017-08-04,7300000.0,microempresarial
comercio,restaurante,manrique central no. 1,2,4.0,2018-09-27,6000000.0,microempresarial
comercio,almacen de ropa en,buenos aires,3,9.0,2017-06-14,730000000.0,microempresarial
comercio,taller de electronica,barrio caicedo,1,9.0,2018-11-14,3000000.0,microempresarial
industria,fabrica de,castilla,3,5.0,2019-01-04,7800000.0,microempresarial
comercio,variedades,la pradera,2,13.0,2017-07-10,7370000.0,microempresarial
servicio,productos de belleza,robledo,2,4.0,2018-07-10,5000000.0,microempresarial
industria,fabrica de muebles,castilla,3,5.0,2017-09-22,4000000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2019-06-12,2500000.0,microempresarial
industria,fabrica de,san pablo,2,1.0,2018-02-21,1000000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2017-07-10,7377000.0,microempresarial
comercio,tienda,manrique central no. 2,3,3.0,2019-05-22,5000000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2017-01-27,4000000.0,microempresarial
comercio,variedades,jardin botanico,2,3.0,2019-01-30,4000000.0,microempresarial
industria,fabrica de,manrique oriental,1,3.0,2018-10-03,7800000.0,microempresarial
servicio,lavanderia,robledo,3,7.0,2018-07-09,7800000.0,microempresarial
industria,fabrica de,buenos aires,1,9.0,2018-07-12,4000000.0,microempresarial
comercio,venta de calzado,belen,2,16.0,2016-10-19,4000000.0,microempresarial
servicio,taller de electronica,san javier no.1,3,13.0,2019-02-15,8122200.0,microempresarial
comercio,tienda,manrique central no. 1,3,4.0,2018-05-10,7800000.0,microempresarial
comercio,papeleria,el salvador,3,9.0,2019-04-26,7000000.0,microempresarial
comercio,carpinteria,cabecera san cristobal,2,60.0,2018-08-01,3000000.0,microempresarial
industria,ebanistaria,belencito,2,13.0,2016-11-04,4000000.0,microempresarial
industria,fabrica de,cabecera san cristobal,2,60.0,2018-12-19,4000000.0,microempresarial
comercio,tienda,san antonio,3,8.0,2019-06-21,4500000.0,microempresarial
servicio,criadero de animales,belen,2,16.0,2017-03-09,4000000.0,microempresarial
comercio,variedades,miranda,2,4.0,2018-02-01,2000000.0,microempresarial
industria,fabrica de,tejelo,3,5.0,2017-04-24,5000000.0,microempresarial
servicio,recreativo educativo,la esperanza,3,6.0,2016-03-07,6890000.0,microempresarial
industria,ebanistaria,belencito,2,13.0,2018-05-18,200000000.0,microempresarial
industria,fabrica de,las esmeraldas,2,4.0,2018-03-06,3000000.0,microempresarial
servicio,recreativo educativo,robledo,2,7.0,2016-05-19,2000000.0,microempresarial
comercio,comidas rapidas,barrio caicedo,1,9.0,2018-10-03,7500000.0,microempresarial
comercio,restaurante,belen,2,16.0,2017-02-23,5000000.0,microempresarial
industria,comidas rapidas,moravia,2,4.0,2018-06-27,3500000.0,microempresarial
industria,fabrica de productos,santander,2,6.0,2017-08-18,7377000.0,microempresarial
industria,panaderia,castilla,2,5.0,2017-05-16,737000000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2017-02-15,680000000.0,microempresarial
industria,fabrica de,campo valdes no. 1,2,4.0,2018-03-07,6000000.0,microempresarial
comercio,almacen de ropa en,aranjuez,2,4.0,2018-08-13,781224200.0,microempresarial
servicio,mantenimiento en,doce de octubre no.1,1,6.0,2017-01-27,6000000.0,microempresarial
comercio,variedades,santander,2,6.0,2018-06-21,6000000.0,microempresarial
industria,fabrica de,campo valdes no. 1,3,4.0,2017-11-30,7000000.0,microempresarial
comercio,tienda de helados,campo valdes no. 1,2,4.0,2016-04-11,6890000.0,microempresarial
comercio,tienda,belencito,2,13.0,2016-03-10,6890000.0,microempresarial
servicio,peluqueria,campo valdes no. 1,3,4.0,2018-04-03,7800000.0,microempresarial
servicio,organizacion y,florencia,3,5.0,2018-08-21,6000000.0,microempresarial
industria,fabrica de,santa cruz,2,2.0,2018-07-09,4500000.0,microempresarial
comercio,variedades,robledo,2,7.0,2017-01-17,7377000.0,microempresarial
industria,fabrica de,pablo vi,2,2.0,2017-05-16,7000000.0,microempresarial
servicio,comidas rapidas,boyaca,3,5.0,2018-03-06,6000000.0,microempresarial
servicio,variedades,robledo,2,7.0,2016-12-30,4000000.0,microempresarial
comercio,tienda,manrique central no. 2,2,3.0,2016-05-06,3500000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2018-07-10,3800000.0,microempresarial
comercio,cafeteria,santa cruz,2,2.0,2018-08-08,7800000.0,microempresarial
comercio,variedades,belen,3,16.0,2017-07-12,7370000.0,microempresarial
comercio,variedades,la francia,2,2.0,2018-08-01,6000000.0,microempresarial
comercio,legumbreria,pedregal,3,6.0,2018-03-15,7800000.0,microempresarial
comercio,variedades,campo valdes no. 1,3,4.0,2018-03-07,7000000.0,microempresarial
comercio,restaurante,boyaca,3,5.0,2017-05-05,6000000.0,microempresarial
comercio,almacen de ropa en,robledo,1,7.0,2017-05-17,6000000.0,microempresarial
comercio,variedades,prado,3,10.0,2016-04-18,6890000.0,microempresarial
servicio,servicios,robledo,2,7.0,2017-07-19,7300000.0,microempresarial
comercio,distribuidora de,cabecera san cristobal,2,60.0,2017-08-17,4000000.0,microempresarial
industria,fabrica de,picacho,1,6.0,2016-09-07,4000000.0,microempresarial
comercio,fabrica de,santa cruz,2,2.0,2018-07-18,7812000.0,microempresarial
industria,fabrica de,doce de octubre no.1,1,6.0,2017-05-31,500000000.0,microempresarial
comercio,variedades,picacho,2,6.0,2018-07-04,5000000.0,microempresarial
servicio,mantenimiento en,san joaquin,3,11.0,2018-08-09,7800000.0,microempresarial
comercio,variedades,castilla,3,5.0,2016-09-02,6000000.0,microempresarial
servicio,mantenimiento en,la america,3,12.0,2016-05-10,6890000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2017-11-15,5000000.0,microempresarial
comercio,comidas rapidas,manrique oriental,2,7.0,2018-05-30,7800000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2018-01-29,7800000.0,microempresarial
servicio,cafe e internet,san javier no.1,1,13.0,2018-10-31,300000000.0,microempresarial
comercio,comidas rapidas,enciso,2,8.0,2019-06-12,8000000.0,microempresarial
comercio,tienda,campo valdes no. 1,3,4.0,2016-02-25,300000.0,microempresarial
comercio,almacen de ropa en,villa niza,2,2.0,2018-04-12,5000000.0,microempresarial
comercio,almacen de ropa en,barrio caicedo,1,9.0,2018-08-14,5500000.0,microempresarial
industria,fabrica de,la francia,2,2.0,2016-11-01,6890000.0,microempresarial
comercio,distribuidora de,el pinal,2,8.0,2019-04-03,8281000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2019-03-11,8000000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2018-04-24,5000000.0,microempresarial
comercio,restaurante,la colina,3,15.0,2017-06-20,4000000.0,microempresarial
industria,fabrica de,santander,3,6.0,2017-02-08,3500000.0,microempresarial
industria,fabrica de,campo valdes no. 1,2,4.0,2017-12-06,7300000.0,microempresarial
industria,variedades,aranjuez,3,4.0,2018-10-11,3000000.0,microempresarial
servicio,mantenimiento en,buenos aires,1,9.0,2017-11-16,7000000.0,microempresarial
comercio,variedades,robledo,2,7.0,2018-01-26,5000000.0,microempresarial
comercio,comidas rapidas,aranjuez,2,4.0,2018-05-10,1500000.0,microempresarial
industria,fabrica de repuestos,san benito,3,10.0,2018-05-28,500000000.0,microempresarial
servicio,peluqueria,aranjuez,3,4.0,2017-02-14,6000000.0,microempresarial
industria,variedades,aranjuez,3,4.0,2018-05-04,7800000.0,microempresarial
comercio,comidas rapidas,robledo,3,7.0,2018-02-22,5000000.0,microempresarial
industria,fabrica de,aranjuez,3,4.0,2018-04-10,3000000.0,microempresarial
comercio,fabrica de calzado,manila,3,14.0,2019-04-22,1500000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2017-12-06,7300000.0,microempresarial
industria,carpinteria,santa cruz,1,2.0,2016-08-11,4000000.0,microempresarial
comercio,fabrica de alimentos,popular,2,1.0,2018-11-07,7800000.0,microempresarial
industria,fabrica de,manrique central no. 1,3,4.0,2018-05-17,5000000.0,microempresarial
industria,fabrica de,lopez de mesa,3,7.0,2017-09-20,5000000.0,microempresarial
comercio,variedades,pedregal,3,6.0,2017-10-25,7377000.0,microempresarial
industria,fabrica de,popular,2,1.0,2016-08-31,600000000.0,microempresarial
industria,fabrica de,robledo,1,7.0,2019-02-21,7000000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2017-08-10,3000000.0,microempresarial
comercio,variedades,enciso,2,8.0,2017-10-26,1000000.0,microempresarial
comercio,variedades,campo valdes no. 1,3,4.0,2018-07-16,7800000.0,microempresarial
servicio,comidas rapidas,buenos aires,3,9.0,2016-07-12,6000000.0,microempresarial
comercio,comidas rapidas,la palma,2,16.0,2018-06-22,7000000.0,microempresarial
industria,fabrica de helados,olaya herrera,1,7.0,2018-06-14,4500000.0,microempresarial
agropecuaria,criadero de animales,cabecera san antonio,2,80.0,2017-10-09,14000000.0,agropecuaria
servicio,peluqueria,belen,3,16.0,2016-11-03,6890000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2018-05-09,6000000.0,microempresarial
industria,fabrica de,belen,1,16.0,2018-07-09,5000000.0,microempresarial
comercio,miscelanea,campo valdes no. 1,2,4.0,2019-05-29,6000000.0,microempresarial
comercio,cafeteria,pablo vi,2,2.0,2017-09-06,7000000.0,microempresarial
industria,carpinteria,san martin de porres,2,6.0,2016-06-15,6890000.0,microempresarial
servicio,comidas rapidas,la cruz,1,3.0,2018-02-16,7000000.0,microempresarial
servicio,peluqueria,robledo,3,7.0,2016-07-15,6890000.0,microempresarial
comercio,venta de calzado,picachito,1,6.0,2018-05-09,4000000.0,microempresarial
comercio,tienda,la pradera,2,13.0,2017-09-13,4400000.0,credioportuno
comercio,variedades,playon de los,1,2.0,2018-02-09,700000000.0,microempresarial
comercio,billares,cabecera san cristobal,2,60.0,2016-09-22,6890000.0,microempresarial
comercio,fabrica de alimentos,villa del socorro,2,2.0,2018-09-14,4000000.0,microempresarial
comercio,licorera,robledo,2,7.0,2017-03-29,7377000.0,microempresarial
comercio,cafeteria,cabecera san antonio,3,80.0,2019-01-31,7000000.0,microempresarial
servicio,comidas rapidas,doce de octubre no.1,2,6.0,2018-02-09,6000000.0,microempresarial
comercio,variedades,san javier no.1,1,13.0,2016-11-19,6800000.0,microempresarial
servicio,fabrica de,robledo,2,7.0,2016-08-09,689000000.0,microempresarial
servicio,peluqueria,cabecera san cristobal,2,60.0,2017-08-18,400000000.0,microempresarial
servicio,peluqueria,aranjuez,2,4.0,2018-07-25,3500000.0,microempresarial
comercio,tienda,la libertad,2,8.0,2016-06-27,4000000.0,microempresarial
comercio,licorera,buenos aires,1,9.0,2018-04-23,3000000.0,microempresarial
comercio,tienda,manrique central no. 2,2,3.0,2018-01-30,4000000.0,microempresarial
servicio,miscelanea,campo valdes no. 1,3,4.0,2016-07-06,6000000.0,microempresarial
industria,fabrica de productos,robledo,1,7.0,2016-10-26,4000000.0,microempresarial
comercio,panaderia,tejelo,3,5.0,2018-02-20,7800000.0,microempresarial
comercio,variedades,doce de octubre no.1,2,6.0,2019-01-25,2000000.0,microempresarial
comercio,papeleria,campo valdes no. 1,3,4.0,2018-04-05,7800000.0,microempresarial
