tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
industria,fabrica de,robledo,2,7.0,2017-02-07,7000000.0,microempresarial
comercio,cafe e internet,cordoba,3,7.0,2017-04-24,2000000.0,microempresarial
industria,fabrica de,enciso,2,8.0,2017-04-18,4000000.0,microempresarial
comercio,comidas rapidas,enciso,2,8.0,2018-10-03,4800000.0,microempresarial
industria,fabrica de,aranjuez,3,4.0,2018-04-24,4000000.0,microempresarial
comercio,tienda,cabecera san cristobal,3,60.0,2018-12-04,1500000.0,microempresarial
servicio,variedades,aranjuez,3,4.0,2017-12-22,4400000.0,microempresarial
servicio,mantenimiento en,toscana,3,5.0,2018-07-05,2000000.0,microempresarial
comercio,almacen de ropa en,cabecera san cristobal,2,60.0,2018-06-05,1600000.0,microempresarial
industria,variedades,cristo rey,3,15.0,2016-11-19,6890000.0,microempresarial
comercio,variedades,loreto,2,9.0,2018-02-26,7300000.0,microempresarial
servicio,peluqueria,manrique central no. 1,3,4.0,2018-11-14,4000000.0,microempresarial
comercio,reciclaje,cabecera san antonio,2,80.0,2018-05-02,251102.0,microempresarial
servicio,variedades,enciso,1,8.0,2017-08-23,1000000.0,microempresarial
servicio,variedades,centro admtivo,3,10.0,2018-01-25,5000000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2018-02-08,5000000.0,microempresarial
comercio,tienda,belalcazar,2,5.0,2016-10-21,4000000.0,microempresarial
servicio,peluqueria,santa cruz,1,2.0,2018-07-16,4500000.0,microempresarial
comercio,cafeteria,la america,3,12.0,2018-03-20,5000000.0,microempresarial
comercio,miscelanea,campo valdes no. 1,3,4.0,2017-08-08,300000000.0,microempresarial
industria,fabrica de,carpinelo,1,1.0,2018-12-04,7000000.0,microempresarial
servicio,variedades,buenos aires,1,9.0,2018-03-08,5000000.0,microempresarial
comercio,fabrica de,robledo,2,7.0,2018-10-25,2000000.0,microempresarial
comercio,legumbreria,cabecera san cristobal,3,60.0,2018-02-27,5000000.0,microempresarial
